sector,country_binned,from,to,frequency,EPS,JSS,EPDR,SPDR,promotion_prob
Information Technology,US,Programmer Analyst,Systems Analyst,827,0.0,1.0,0.4100596760443308,0.5046855780253726,0.9967377766298544
Information Technology,US,Web Developer,Software Developer,824,1.0,1.0,0.1630204657727593,0.5072480395339306,0.9026325553743574
Information Technology,US,Technical Recruiter,Senior Technical Recruiter,799,0.9825727223989292,1.0,0.6732984293193718,0.5160035713597043,0.9986570601816519
Information Technology,US,Database Administrator,Senior Database Administrator,756,0.9999999999999972,1.0,0.5932560590094836,0.5000758339656287,0.997264638112815
Information Technology,US,Web Developer,Senior Web Developer,753,1.0,1.0,0.6004250797024442,0.5087751490179182,0.9974337700400173
Information Technology,US,Software Engineer,Principal Software Engineer,701,1.0,1.0,0.4291539245667686,0.4991947181419367,0.9889808315004767
Information Technology,US,Software Engineer,Senior Software Developer,666,0.9999979259088428,1.0,0.3605720122574055,,0.9770739137048294
Information Technology,US,Programmer,Software Developer,664,1.0,1.0,0.3993677555321391,0.5002692632434091,0.9858390783968154
Information Technology,US,Senior Software Engineer,Staff Software Engineer,645,1.0,0.9990192401908196,0.4642451759364359,0.5023354290389517,0.9917929124870674
Information Technology,US,Quality Assurance Analyst,Senior Quality Assurance Analyst,612,1.0,1.0,0.5692307692307692,0.5087661319704868,0.9966530239653342
Information Technology,US,Senior Software Engineer,Software Architect,608,0.8672986906127014,1.0,0.3131749460043196,0.5035825336897297,0.9756826400190218
Information Technology,US,Quality Assurance Engineer,Senior Quality Assurance Engineer,560,1.0,1.0,0.644640234948605,,0.9979301932665051
Information Technology,US,Systems Administrator,Network Engineer,550,1.0,0.9999999999992366,0.1777301927194861,0.5044239187564947,0.9130569462949149
Information Technology,US,Software Engineer,Software Architect,537,1.0,1.0,0.5212464589235127,0.5098899186944927,0.9949681211779889
Information Technology,US,Programmer,Senior Software Engineer,532,1.0,1.0,0.6599063962558502,0.5103812119064417,0.9984550697274159
Information Technology,US,Network Administrator,Systems Engineer,523,1.0,1.0,0.4154262516914749,0.5001882955190303,0.9876310610655469
Information Technology,US,Application Developer,Senior Application Developer,503,0.9999999999938496,1.0,0.7108843537414966,0.504490066661737,0.9989979503971795
Information Technology,US,Business Systems Analyst,Senior Business Systems Analyst,489,0.999977656056178,1.0,0.6492411467116358,0.5020519732518022,0.9983035609420666
Information Technology,US,Systems Analyst,Systems Engineer,474,0.0282032527450686,1.0,0.1258907363420427,0.4884342126921733,0.962708902005493
Information Technology,US,Software Developer,Senior Developer,472,1.0,1.0,0.5128205128205128,0.5054257858660661,0.9945870703475599
Information Technology,US,Java Developer,Senior Java Developer,471,0.9999999986814376,1.0,0.7096188747731398,0.5052113990622485,0.9989873059076265
Information Technology,US,Systems Analyst,Systems Administrator,461,0.0,0.999152907619722,0.1202916160388821,0.4925687946201979,0.9623422356967145
Information Technology,US,Programmer Analyst,Senior Software Engineer,457,1.0,1.0,0.342143906020558,0.5142063154652812,0.9772183768647333
Information Technology,US,Software Engineer,Senior Developer,448,4.812890868777231e-05,1.0,0.2444444444444444,0.5016211662289094,0.9867010320068014
Information Technology,US,Software Engineer,Staff Software Engineer,444,1.0,1.0,0.5497382198952879,0.5086431987324014,0.9960490473957537
Information Technology,US,Technology Analyst,Technology Head,435,0.9999999999999996,1.0,0.9954128440366972,,0.9998962920379132
Information Technology,US,Software Engineer II,Senior Software Engineer,420,0.9999999999998854,1.0,0.7177914110429447,,0.9988907258482308
Information Technology,US,Software Consultant,Senior Software Engineer,414,0.9999999999999604,0.9999999999999992,0.1728045325779036,0.5186466300713445,0.9100308528530696
Information Technology,US,Systems Administrator,Senior Systems Engineer,409,1.0,1.0,0.4981684981684982,0.5083271204969894,0.9938756129555893
Information Technology,US,Programmer,Developer,402,1.0,1.0,0.3030794165316045,0.4871233260210302,0.9682167084013231
Information Technology,US,Software Development Engineer,Software Development Engineer II,394,0.9994142854651704,0.9999999999999756,0.912621359223301,,0.9997898755128245
Information Technology,US,Software Developer,Application Developer,389,3.237338175310356e-10,0.9999999999970952,0.014341590612777,0.4995767675954059,0.9122175093347269
Information Technology,US,Systems Engineer,Senior Software Engineer,388,1.0,1.0,0.2890365448504983,0.5210797731519156,0.9646821095260261
Information Technology,US,Programmer,Database Administrator,384,1.0,1.0,0.5705521472392638,0.4978511205030257,0.9966789642683116
Information Technology,US,Web Developer,Senior Software Engineer,362,1.0,1.0,0.4745417515274949,0.517355013283295,0.9925379681127136
Information Technology,US,Web Developer,Senior Developer,358,1.0,1.0,0.6053811659192825,0.5126718320543908,0.9975429028392523
Information Technology,US,Senior Programmer,Senior Software Engineer,357,1.0,1.0,0.3783783783783784,0.5077085661808324,0.9831453113106784
Information Technology,US,Web Developer,Front End Developer,355,0.4464444985167236,0.9999999890614923,0.3601532567049808,0.5018784428968132,0.990770265248248
Information Technology,US,Software Engineer,Senior Systems Engineer,337,0.0,1.0,0.5011135857461024,0.4976803433768648,0.9984949867496936
Information Technology,US,Programmer,Application Developer,337,1.0,1.0,0.4012474012474012,0.4998460307686292,0.9860595805909904
Information Technology,US,Technical Staff Member,Senior Software Engineer,335,0.0,1.0,0.1433447098976109,0.5084995100575908,0.9690980606593329
Information Technology,US,Software Developer Intern,Software Developer,330,1.0,1.0,0.6097560975609756,0.503617725707077,0.9976259745994818
Information Technology,US,Business Systems Analyst,Senior Business Analyst,327,0.9999999999999972,1.0,0.3185483870967742,0.5035077385703514,0.9721814949868788
Information Technology,US,Software Developer,Software Consultant,326,1.0,1.0,0.1833030852994555,0.4914589898252515,0.9164457119505063
Information Technology,US,Software Engineer,Technology Analyst,324,0.0,2.668976151198877e-13,0.7704918032786885,0.4852175744948454,0.9960438668861152
Information Technology,US,Senior Software Engineer,Software Development Manager,324,0.2283286469565403,1.0,0.4660633484162896,0.4982766777929032,0.9972179008421649
Information Technology,US,Programmer,Senior Programmer Analyst,320,1.0,1.0,0.5960099750623441,0.4975092805408747,0.9973258689212187
Information Technology,US,Programmer,Senior Systems Analyst,313,1.0,1.0,0.4940334128878281,0.498426245601837,0.9936369551710081
Information Technology,US,Software Development Engineer,Senior Software Development Engineer,312,0.9954536289525702,1.0,0.7931034482758621,0.5119548180504186,0.9995075072384345
Information Technology,US,Developer,Senior Software Engineer,308,1.0,1.0,0.3508771929824561,0.5232454564950784,0.9788806182431569
Information Technology,US,Java Developer,Software Engineer,304,0.0,0.9492684753434348,0.0704225352112676,0.506129968909885,0.9344028346140821
Information Technology,US,Webmaster,Web Developer,289,0.9999999999768748,0.9992458743503264,0.2483801295896328,0.4989963889947909,0.9502967379128735
Information Technology,US,Quality Assurance Tester,Quality Assurance Analyst,280,1.0,1.0,0.4141414141414141,0.4997908487216763,0.9874947378460869
Information Technology,US,Software Development Engineer,Senior Software Engineer,280,0.0,1.0,0.2017167381974249,0.5106028586529119,0.9810108265104254
Information Technology,US,Senior Systems Engineer,Technology Analyst,279,0.0147456217876807,0.0,0.9717314487632508,0.4875355214825673,0.9992741258407594
Information Technology,US,Programmer Analyst,Senior Programmer,275,6.252647289262114e-06,1.0,0.2359550561797752,0.5065005968142748,0.985738030076264
Information Technology,US,Information Technology Specialist,Systems Administrator,271,0.0655803093078182,0.8750694971197854,0.1410526315789473,,0.940758925801369
Information Technology,US,Web Developer,Web Application Developer,267,0.999999999996792,1.0,0.2389791183294663,0.5037033529967297,0.9465653922197926
Information Technology,US,Junior Software Engineer,Software Engineer,265,0.9999999999999996,1.0,0.7785234899328859,0.5039795043747806,0.999437288768071
Information Technology,US,Software Engineer,Software Development Manager,264,0.9999999999999996,1.0,0.6708860759493671,0.5045851562159223,0.9985905566833094
Information Technology,US,Developer,Lead Developer,261,0.9999999999999956,1.0,0.359375,0.51692263218914,0.9802910196842649
Information Technology,US,Programmer,Systems Engineer,260,1.0,1.0,0.2410501193317422,0.4892920657316494,0.9472238342480177
Information Technology,US,Network Administrator,Senior Network Administrator,259,0.9999982567031264,1.0,0.6037151702786377,0.5109567769145592,0.9975064291560747
Information Technology,US,Systems Analyst,Database Administrator,257,1.0,1.0,0.4082191780821917,0.4969928644719961,0.9868429627944125
Information Technology,US,Senior Software Engineer,Software Engineering Manager,256,0.9948869106821204,1.0,0.4422535211267606,0.5065747925457147,0.9902273741328306
Information Technology,US,Web Designer,Senior Web Designer,254,0.9989319983702544,1.0,0.5974842767295597,0.5032140260944228,0.9973679113278748
Information Technology,US,Web Developer,Front End Web Developer,253,0.220642418423909,0.9999999996937116,0.310880829015544,0.5016810354322059,0.9897304017586139
Information Technology,US,Application Developer,Senior Software Engineer,253,1.0,1.0,0.3074935400516795,0.5105351137810477,0.9695773197975115
Information Technology,US,Software Developer Intern,Software Engineer,251,1.0,1.0,0.5936507936507937,0.5074220705662341,0.9972801752064816
Information Technology,US,Software Engineer,Lead Developer,251,0.0,1.0,0.0703624733475479,0.499975486189405,0.9437238130068858
Information Technology,US,Associate Systems Engineer,Systems Engineer,250,0.5379022927316657,1.0,0.9083969465648856,0.498181935154721,0.9999019647515355
Information Technology,US,Software Development Intern,Software Engineer,249,1.0,1.0,0.735191637630662,0.5313137775212395,0.9991925621649032
Information Technology,US,Network Engineer,Senior Systems Engineer,247,1.0,1.0,0.4195402298850574,0.5039037769777185,0.9880669442315506
Information Technology,US,Web Designer,Front End Developer,245,0.9999999999999348,1.0,0.4714714714714714,0.5048621297916492,0.9923109291684488
Information Technology,US,Software Developer,Software Development Engineer,244,1.0,0.9999999951632564,0.2609819121447028,0.4995089924973106,0.9552528745272679
Information Technology,US,Programmer Analyst,Technology Head,243,0.9999999998911244,1.0,0.8692307692307693,,0.9996954078932986
Information Technology,US,Systems Analyst,Senior Business Analyst,242,1.0,1.0,0.4756097560975609,0.5037489750725394,0.9925733263233936
Information Technology,US,Software Quality Assurance Engineer,Senior Software Quality Assurance Engineer,239,0.9999991797403636,1.0,0.6539792387543253,,0.9980885585533631
Information Technology,US,Test Software Development Engineer,Software Development Engineer,238,1.0,0.2506410319547778,0.45565749235474,0.4936087554349795,0.9067523073090804
Information Technology,US,Software Developer,Software Architect,238,1.0,1.0,0.540453074433657,0.5136926112588315,0.9957312381250868
Information Technology,US,Software Developer,Lead Software Developer,238,0.9955008437685232,1.0,0.5657894736842105,0.5101137726993933,0.9965763672989709
Information Technology,US,Programmer,Lead Programmer,237,0.999488363535243,1.0,0.490566037735849,0.5045486316743918,0.9934642674368066
Information Technology,US,Senior Business Analyst,Senior Business Systems Analyst,237,0.0730464510156095,0.999998950834717,0.0748299319727891,0.4985441927670968,0.9402505471766146
Information Technology,US,Senior Systems Administrator,Senior Systems Engineer,236,1.0,0.9985201898766932,0.2620320855614973,0.4979804804054918,0.9554086007643285
Information Technology,US,Software Development Engineer Intern,Software Development Engineer,234,1.0,1.0,0.918032786885246,,0.9997992003054352
Information Technology,US,Programmer,Senior Developer,233,1.0,1.0,0.7007299270072993,0.5056950158286069,0.9989076929043664
Information Technology,US,Programmer Analyst,Senior Systems Analyst,233,0.9998200532806012,1.0,0.6350877192982456,0.5022536612770422,0.9980865620971223
Information Technology,US,Software Engineer,Software Engineering Manager,232,1.0,1.0,0.6453900709219859,0.5128809346048765,0.9982529139894594
Information Technology,US,Software Engineer,Database Administrator,231,0.0,1.0,0.1785714285714285,0.4937773383554502,0.9768353817747789
Information Technology,US,Technical Consultant,Senior Technical Consultant,231,0.9999999999650526,1.0,0.7238805970149254,0.5102136457678066,0.9991047545467184
Information Technology,US,Software Engineer,Chief Technology Officer,229,1.0,1.0,0.3963414634146341,0.5145539347984599,0.9855387262096702
Information Technology,US,Software Engineer,Technical Consultant,225,0.0,1.0,0.3196480938416422,0.4901316372535562,0.9929336928340027
Information Technology,US,Network Technician,Network Engineer,225,1.0,1.0,0.541095890410959,0.5160960962452549,0.995757745107991
Information Technology,US,Software Developer,Technical Lead,224,1.0,1.0,0.4592833876221498,0.5010424663144624,0.9914643640482806
Information Technology,US,Programmer Analyst,Application Developer,223,0.4615669325973659,1.0,0.2927536231884058,0.5036734008045608,0.9833747242522056
Information Technology,US,Network Technician,Network Administrator,223,1.0,1.0,0.3850931677018633,0.5073527020395395,0.9840679006215446
Information Technology,US,Software Engineer II,Software Engineer III,222,0.0993574329275862,1.0,0.9473684210526316,,0.9999551498651715
Information Technology,US,Programmer,Systems Administrator,221,0.0,1.0,0.148051948051948,0.493426905142014,0.9701406757033532
Information Technology,US,Senior Business Analyst,Lead Business Analyst,221,0.9999986543645544,0.900443209429623,0.2848837209302325,0.4968736808913882,0.949747485247838
Information Technology,US,.NET Developer,Senior .NET Developer,220,0.9996746048262368,1.0,0.6176470588235294,,0.9973961511114022
Information Technology,US,Web Developer,Lead Developer,218,1.0,1.0,0.3667711598746082,0.5110270721009339,0.9814408672897956
Information Technology,US,Network Administrator,Senior Network Engineer,216,1.0,1.0,0.5940959409594095,0.5150407731644058,0.997297019236594
Information Technology,US,Software Engineer,Senior Programmer Analyst,216,0.0,1.0,0.1835616438356164,0.4934355469302999,0.9777779956403493
Information Technology,US,Information Technology Project Manager,Senior Information Technology Project Manager,214,0.9999998039728212,0.9999999999999898,0.5123674911660777,,0.9936227361898309
Information Technology,US,Software Intern,Software Engineer,214,1.0,1.0,0.6461538461538462,,0.9979567216074641
Information Technology,US,Quality Assurance Analyst,Quality Assurance Lead,213,0.9999999999940136,1.0,0.4247491638795986,0.5073142206686597,0.9885924770253712
Information Technology,US,Senior Software Engineer,Senior Staff Software Engineer,210,1.0,1.0,0.5613382899628253,0.5040562723088055,0.9964151339138188
Information Technology,US,Software Developer,Lead Developer,208,0.9778010872376636,1.0,0.3820598006644518,0.5037802411048607,0.9841263106584159
Information Technology,US,Programmer Analyst,Technical Lead,204,1.0,1.0,0.5223880597014925,0.5051389862618794,0.9950091847111483
Information Technology,US,Network Analyst,Network Engineer,201,0.9999999997965688,1.0,0.4460431654676259,0.5032298587893373,0.99045889041125
Information Technology,US,Oracle Database Administrator,Senior Oracle Database Administrator,198,0.9998352870431524,1.0,0.6363636363636364,0.4990422988890005,0.9981052850785995
Information Technology,US,Senior Programmer Analyst,Senior Software Engineer,195,1.0,0.9999999999897736,0.1818181818181818,0.512870600201269,0.9159960185538933
Information Technology,US,Software Engineer,Software Engineer III,195,0.3101671738825609,1.0,0.3220338983050847,,0.9876237423881556
Information Technology,US,Database Developer,Database Administrator,191,0.0041868551540233,0.99738199938613,0.0914285714285714,0.4998533242797575,0.951895261761559
Information Technology,US,Systems Engineer,Senior Network Engineer,191,0.0,1.0,0.2126984126984127,0.5148526459026946,0.9827043317686849
Information Technology,US,Programmer Analyst,Programmer Analyst II,190,0.0004381261298385,0.9999693594731468,0.645021645021645,,0.9994830944656462
Information Technology,US,Senior Software Engineer,Technology Analyst,189,0.0,0.0,0.7027027027027027,0.4789171594962944,0.9929496128781825
Information Technology,US,Senior Software Engineer,Senior Software Architect,188,0.1490868568768042,1.0,0.3192982456140351,0.5083470761848854,0.9913495426193505
Information Technology,US,Senior Software Engineer,Solution Architect,187,0.0,1.0,0.4724409448818897,0.5000297419365846,0.9980796613618264
Information Technology,US,Technical Support Engineer,Senior Technical Support Engineer,185,0.9840789094104572,1.0,0.7874396135265701,0.4967692565883778,0.9994887291367736
Information Technology,US,Software Developer,Software Development Manager,185,1.0,1.0,0.5611814345991561,0.5083893243009509,0.9964152808967413
Information Technology,US,Software Engineer III,Senior Software Engineer,182,0.9999999993303874,0.9992477615039193,0.2508591065292096,,0.9433678188129341
Information Technology,US,Programmer Analyst,Database Administrator,177,0.9745942605777822,1.0,0.5733333333333334,0.5016785371008486,0.9968723609710185
Information Technology,US,Application Developer,Senior Developer,176,1.0,1.0,0.4308943089430894,0.5058489645451508,0.9891643816029144
Information Technology,US,Developer,Technical Lead,175,1.0,1.0,0.4767932489451477,0.5141874435209245,0.9926716968416691
Information Technology,US,Web Designer,Developer,175,1.0,1.0,0.320754716981132,0.4970836265503949,0.9726321273591881
Information Technology,US,Senior Web Developer,Senior Software Engineer,174,1.0,1.0,0.1638795986622073,0.5085850940583803,0.9033126967199887
Information Technology,US,Web Developer,Lead Web Developer,174,0.3736986878925854,0.9999999311465352,0.3488372093023256,0.5065170067455831,0.9908221554783455
Information Technology,US,Systems Engineer,Solution Architect,174,1.0,1.0,0.359375,0.5211094621499144,0.9803167787479647
Information Technology,US,Programmer,Senior Software Developer,173,1.0,1.0,0.6796116504854369,,0.9984637663974718
Information Technology,US,Technical Lead,Solution Architect,171,2.5015000933770185e-05,1.0,0.5267857142857143,0.5090997099744732,0.9987952666396844
Information Technology,US,Solution Architect,Senior Solution Architect,171,0.4494639124591499,0.99999989373333,0.4016393442622951,,0.9923565821531998
Information Technology,US,Software Engineer,Senior Application Developer,169,7.321607919941188e-08,1.0,0.357429718875502,0.5002621278897978,0.9948888624459349
Information Technology,US,Systems Analyst,Technical Lead,168,1.0,1.0,0.3658536585365853,0.5004534519114009,0.981235672900615
Information Technology,US,Web Developer,User Interface Developer,168,1.0,1.0,0.3714285714285714,,0.9790613812233319
Information Technology,US,Network Administrator,Senior Systems Administrator,167,1.0,1.0,0.5829383886255924,0.5146676052010319,0.9970272451866715
Information Technology,US,Quality Assurance Tester,Quality Assurance Engineer,167,1.0,1.0,0.4778761061946903,,0.9914569850869595
Information Technology,US,Programmer Analyst,Systems Engineer,167,0.0,1.0,0.1843971631205673,0.4931182989739986,0.9779303245671315
Information Technology,US,Senior Software Engineer,Chief Technology Officer,165,0.751705592379265,0.999999999999998,0.1785714285714285,0.5082486850163772,0.9372723822838332
Information Technology,US,Network Administrator,Senior Systems Engineer,165,1.0,1.0,0.5865384615384616,0.5126495844059967,0.9971151421948586
Information Technology,US,Senior Systems Analyst,Senior Business Analyst,165,1.0,0.9978662291519852,0.2,0.5061807691318724,0.9265811740775062
Information Technology,US,Systems Engineer,Systems Architect,164,1.0,1.0,0.4708520179372197,0.5162431800667248,0.9922982252093719
Information Technology,US,Help Desk Technician,Systems Administrator,164,1.0,1.0,0.5327102803738317,0.5119313203882545,0.9954382139461203
Information Technology,US,Software Engineer,Senior Systems Analyst,164,0.0,1.0,0.2058823529411764,0.494352390386263,0.9815688641848772
Information Technology,US,Technical Support Specialist,Systems Administrator,163,1.0,1.0,0.4051724137931034,0.5110825182679308,0.9865604710794795
Information Technology,US,Systems Engineer,Information Technology Analyst,162,0.3384891736699318,0.0,0.7052631578947368,0.5084835552325566,0.9891170838854886
Information Technology,US,Systems Engineer,Systems Engineer II,162,5.04852926552779e-06,0.9791274047994496,0.628140703517588,,0.9993613481491362
Information Technology,US,Java Developer,Senior Software Engineer,160,0.3958446803613431,1.0,0.3973799126637554,0.5124363243198733,0.9937411591503471
Information Technology,US,Technical Lead,Technical Architect,160,0.780652072095549,1.0,0.4349775784753363,0.5096506984392902,0.9922647224508714
Information Technology,US,Scrum Master,Agile Coach,159,0.9993104001145572,0.9999901751177804,0.4133333333333333,0.5053325086459703,0.9874426266266095
Information Technology,US,Information Technology Analyst,Assistant Consultant,158,1.0,1.0,0.9627329192546584,,0.9998629107421904
Information Technology,US,Systems Analyst,Information Technology Consultant,158,1.213246575426652e-06,1.0,0.2061068702290076,0.4904291205617481,0.9815809015459497
Information Technology,US,Senior Java Developer,Senior Software Engineer,157,5.551115123125783e-15,0.9926585840387953,0.0031948881789137,0.507226798751691,0.902409491026485
Information Technology,US,Programmer Analyst,Senior Developer,156,1.0,1.0,0.4857142857142857,0.509521547045447,0.9931955782371553
Information Technology,US,Software Engineer,Solution Architect,154,0.8403168968849811,1.0,0.6210526315789474,0.5063380162184856,0.9982727711304417
Information Technology,US,Software Engineer,Senior Web Developer,154,0.0,1.0,0.1937984496124031,0.4977226916497946,0.979627533042416
Information Technology,US,Programmer Analyst,Developer,153,0.006141182904098,1.0,0.137546468401487,0.4909489031124627,0.9671348024378262
Information Technology,US,Network Technician,Systems Administrator,153,1.0,1.0,0.3846153846153846,0.5116755030373323,0.9840254692599396
Information Technology,US,Computer Technician,Network Administrator,152,1.0,1.0,0.5353535353535354,0.5014452113572585,0.9955247194902476
Information Technology,US,Software Test Engineer,Senior Software Test Engineer,152,0.9999999997417528,0.9999999999999996,0.5833333333333334,0.5050767345595234,0.9970281839199516
Information Technology,US,Programmer Analyst,Associate Project Manager,152,0.9999154085473716,0.2801552452491191,0.9487179487179488,,0.998381374972948
Information Technology,US,Systems Analyst,Senior Systems Engineer,151,0.9999408117553982,1.0,0.4312796208530806,0.5008961369309455,0.9891835979087606
Information Technology,US,Software Developer,Database Administrator,151,2.4183588803405875e-05,1.0,0.1570881226053639,0.4975818628562911,0.9723315297806041
Information Technology,US,Support Analyst,Senior Support Analyst,150,0.4595031215412182,0.9999999992181506,0.8181818181818182,0.5052472172110817,0.9998104348463405
Information Technology,US,Web Developer,.NET Developer,148,1.0,1.0,0.2131147540983606,,0.9236495142556522
Information Technology,US,Systems Analyst,Lead Systems Analyst,147,0.999719323299468,1.0,0.7604790419161677,0.5041790809089616,0.999343895481531
Information Technology,US,Systems Programmer,Senior Systems Programmer,145,0.4897372320605561,0.9999999999999988,0.6666666666666666,,0.9991536573223666
Information Technology,US,Systems Engineer,Database Administrator,145,1.0,1.0,0.1934156378600823,0.5085598426213593,0.9232124288069832
Information Technology,US,J2EE Developer,Senior Java Developer,145,0.0096580977400106,1.0,0.2236286919831223,0.505679481733401,0.9839660703867392
Information Technology,US,Software Design Engineer,Senior Software Engineer,143,0.8551834668139402,1.0,0.3427230046948357,0.5131816872463578,0.9813693743362455
Information Technology,US,Programmer,Information Technology Consultant,143,0.9999996273135676,1.0,0.3490566037735849,0.4912871124901888,0.9783420739951088
Information Technology,US,Systems Engineer,Technical Lead,143,1.0,1.0,0.4371859296482412,0.512018987083553,0.9897453692686897
Information Technology,US,Senior Programmer,Senior Developer,142,1.0,0.999999999999772,0.2456140350877192,0.503021698352175,0.9493494299204045
Information Technology,US,Computer Technician,Systems Administrator,142,1.0,1.0,0.5777777777777777,0.505769353031751,0.9968849247182764
Information Technology,US,Junior Software Developer,Software Developer,141,0.999999738099098,1.0,0.7195121951219512,0.5046947426539751,0.9990691234813907
Information Technology,US,Network Administrator,Information Technology Consultant,141,1.0,1.0,0.1949152542372881,0.5021840838001429,0.9239728172081966
Information Technology,US,User Experience Designer,Senior User Experience Designer,140,0.9609382884298872,1.0,0.7834394904458599,0.5096559871275661,0.9994897635565902
Information Technology,US,Systems Analyst,Senior Developer,140,1.0,1.0,0.3793103448275862,0.5048368321808618,0.9832616373371311
Information Technology,US,Software Consultant,Senior Software Consultant,138,0.9999996703499991,1.0,0.5418994413407822,0.511148200039418,0.9957800168597156
Information Technology,US,Senior Software Engineer,Technical Architect,137,0.0004508511415655,0.999999999999888,0.3564356435643564,0.5005809239793685,0.9948428273937738
Information Technology,US,Software Developer,Software Developer II,136,0.3429819127845936,0.9993953030568762,0.5813953488372093,,0.9985676457463967
Information Technology,US,Software Engineer,Contract Software Engineer,135,6.683752212854888e-05,1.0,0.1538461538461538,0.4985980166387919,0.9715841707544994
Information Technology,US,Software Engineer,Information Technology Specialist,134,0.0,0.9999999998794504,0.0677290836653386,,0.9332525295703222
Information Technology,US,Information Technology Consultant,Senior Information Technology Consultant,134,1.0,0.9999999999889192,0.6441717791411042,0.5051812514689886,0.998230345517335
Information Technology,US,Support Engineer,Senior Support Engineer,132,0.8065644502844149,0.9999999999988772,0.7959183673469388,0.5015157088450327,0.9996286962820141
Information Technology,US,Assistant Systems Engineer,Systems Engineer,132,7.105427357601002e-15,1.0,1.0,0.4942130116747382,0.9999787011270528
Information Technology,US,Software Development Intern,Software Developer,131,1.0,1.0,0.5502958579881657,0.52752214009982,0.9960912360306561
Information Technology,US,Systems Engineer,Senior Systems Analyst,129,1.0,1.0,0.205607476635514,0.5091347956160179,0.9302877657584133
Information Technology,US,Junior Programmer,Programmer,129,0.9997199258373022,1.0,0.8428571428571429,0.505843951061286,0.9996753938177428
Information Technology,US,Software Engineer,Technology Head,128,3.325958949362829e-07,1.0,0.7534246575342466,,0.999795267723918
Information Technology,US,Web Developer,Senior Software Developer,128,1.0,1.0,0.3763440860215054,,0.9799048624657879
Information Technology,US,Web Designer,Front End Web Developer,127,0.9999999060560322,1.0,0.5301204819277109,0.504664737743047,0.995325914125052
Information Technology,US,Developer,Senior Software Developer,127,1.0,1.0,0.2828282828282828,,0.9564097188646951
